Date,Description,Deposits,Withdrawls,Balance
21-Aug-2020,Transfer,00.00,"137,448.83","1,237,039.42"
21-Aug-2020,IMPS,00.00,"412,346.47","824,692.95"
21-Aug-2020,Commission,00.00,"412,346.48","412,346.48"
21-Aug-2020,Bill,00.00,"51,543.31","360,803.17"
22-Aug-2020,NEFT,00.00,"90,200.79","270,602.38"
22-Aug-2020,NEFT,06.60,00.00,"270,608.98"
22-Aug-2020,Reversal,00.00,"45,101.50","225,507.48"
22-Aug-2020,RTGS,"217,183.10",00.00,"442,690.58"
22-Aug-2020,RTGS,00.00,"221,345.29","221,345.29"
22-Aug-2020,Debit Card,"17,021.00",00.00,"238,366.29"
22-Aug-2020,Commission,"128,690.25",00.00,"367,056.54"
22-Aug-2020,Reversal,"3,749.10",00.00,"370,805.64"
22-Aug-2020,Miscellaneous,"2,585.20",00.00,"373,390.84"
22-Aug-2020,NEFT,"1,339.00",00.00,"374,729.84"
22-Aug-2020,Purchase,00.00,"93,682.46","281,047.38"
22-Aug-2020,Bill,335.70,00.00,"281,383.08"
22-Aug-2020,Bill,00.00,"35,172.89","246,210.20"
22-Aug-2020,NEFT,00.00,"24,621.02","221,589.18"
22-Aug-2020,NEFT,00.00,"36,931.53","184,657.65"
22-Aug-2020,RTGS,00.00,"92,328.83","92,328.82"
22-Aug-2020,IMPS,"39,082.70",00.00,"131,411.52"
22-Aug-2020,Interest,16.48,00.00,"131,428.00"
22-Aug-2020,ATM,00.00,"18,775.43","112,652.57"
22-Aug-2020,Debit Card,"1,001,957.00",00.00,"1,114,609.57"
22-Aug-2020,Commission,00.00,"1,114,609.57",00.00
22-Aug-2020,Interest,"229,611.00",00.00,"229,611.00"
22-Aug-2020,Purchase,"21,743.97",00.00,"251,354.97"
22-Aug-2020,Purchase,00.00,"125,677.49","125,677.48"
22-Aug-2020,Purchase,272.00,00.00,"125,949.48"
22-Aug-2020,Debit Card,306.00,00.00,"126,255.48"
22-Aug-2020,Tax,00.00,"42,085.16","84,170.32"
22-Aug-2020,Cheque,"2,408.00",00.00,"86,578.32"
22-Aug-2020,Interest,36.68,00.00,"86,615.00"
22-Aug-2020,Purchase,59.51,00.00,"86,674.51"
22-Aug-2020,Transfer,58.49,00.00,"86,733.00"
22-Aug-2020,Bill,"24,976.60",00.00,"111,709.60"
22-Aug-2020,Tax,27.00,00.00,"111,736.60"
22-Aug-2020,NEFT,00.00,"18,622.77","93,113.83"
22-Aug-2020,Transfer,06.00,00.00,"93,119.83"
22-Aug-2020,RTGS,04.00,00.00,"93,123.83"
22-Aug-2020,NEFT,00.00,"46,561.92","46,561.92"
22-Aug-2020,ATM,"3,925.00",00.00,"50,486.92"
22-Aug-2020,IMPS,07.20,00.00,"50,494.12"
22-Aug-2020,IMPS,00.00,"16,831.37","33,662.75"
22-Aug-2020,IMPS,"74,284.97",00.00,"107,947.72"
22-Aug-2020,ATM,00.00,"15,421.10","92,526.62"
22-Aug-2020,Bill,00.00,"18,505.32","74,021.30"
22-Aug-2020,Bill,06.00,00.00,"74,027.30"
22-Aug-2020,Purchase,00.00,"7,402.73","66,624.57"
22-Aug-2020,Cash,00.00,"66,624.57",00.00
22-Aug-2020,Purchase,"16,267.00",00.00,"16,267.00"
22-Aug-2020,Commission,00.00,"1,626.70","14,640.30"
22-Aug-2020,NEFT,00.00,"1,626.70","13,013.60"
22-Aug-2020,ATM,"2,599.60",00.00,"15,613.20"
22-Aug-2020,Miscellaneous,"3,420.20",00.00,"19,033.40"
22-Aug-2020,Debit Card,00.00,"4,758.35","14,275.05"
22-Aug-2020,Reversal,00.00,"4,758.35","9,516.70"
22-Aug-2020,Cheque,00.00,"1,359.53","8,157.17"
22-Aug-2020,Commission,00.00,906.35,"7,250.82"
22-Aug-2020,Debit Card,00.00,"1,450.16","5,800.66"
22-Aug-2020,Purchase,00.00,580.07,"5,220.59"
22-Aug-2020,Interest,00.00,"1,044.12","4,176.47"
22-Aug-2020,Miscellaneous,00.00,"4,176.47",00.00
22-Aug-2020,Miscellaneous,"16,915.80",00.00,"16,915.80"
22-Aug-2020,Cheque,00.00,"2,819.30","14,096.50"
22-Aug-2020,IMPS,00.00,"7,048.25","7,048.25"
23-Aug-2020,Purchase,"1,432.00",00.00,"8,480.25"
23-Aug-2020,Miscellaneous,00.00,848.03,"7,632.22"
23-Aug-2020,IMPS,"1,807,354.00",00.00,"1,814,986.22"
23-Aug-2020,Interest,00.00,"604,995.41","1,209,990.81"
23-Aug-2020,Bill,00.00,"120,999.08","1,088,991.73"
23-Aug-2020,Debit Card,01.70,00.00,"1,088,993.43"
23-Aug-2020,Reversal,00.00,"155,570.49","933,422.94"
23-Aug-2020,Bill,00.00,"133,346.13","800,076.81"
23-Aug-2020,Cash,00.00,"114,296.69","685,780.12"
23-Aug-2020,Commission,00.00,"171,445.03","514,335.09"
23-Aug-2020,ATM,28.00,00.00,"514,363.09"
23-Aug-2020,ATM,00.00,"73,480.44","440,882.65"
23-Aug-2020,NEFT,"72,005.25",00.00,"512,887.90"
23-Aug-2020,Transfer,01.60,00.00,"512,889.50"
23-Aug-2020,RTGS,00.00,"56,987.72","455,901.78"
23-Aug-2020,Purchase,80.79,00.00,"455,982.57"
23-Aug-2020,RTGS,00.00,"75,997.10","379,985.48"
23-Aug-2020,Reversal,"5,277.66",00.00,"385,263.14"
23-Aug-2020,Reversal,00.00,"128,421.05","256,842.09"
23-Aug-2020,Cash,00.00,"64,210.52","192,631.57"
23-Aug-2020,RTGS,00.00,"27,518.80","165,112.77"
23-Aug-2020,ATM,271.00,00.00,"165,383.77"
23-Aug-2020,ATM,00.00,"55,127.92","110,255.85"
23-Aug-2020,Cheque,00.00,"11,025.59","99,230.26"
23-Aug-2020,Reversal,"10,196.72",00.00,"109,426.98"
23-Aug-2020,ATM,00.00,"109,426.98",00.00
23-Aug-2020,Cash,"1,078.50",00.00,"1,078.50"
23-Aug-2020,Reversal,00.00,359.50,719.00
23-Aug-2020,Debit Card,00.00,102.71,616.29
23-Aug-2020,Bill,"16,011.00",00.00,"16,627.29"
23-Aug-2020,Commission,00.00,"3,325.46","13,301.83"
23-Aug-2020,Cash,00.00,"1,477.98","11,823.85"
23-Aug-2020,Cheque,00.00,"3,941.28","7,882.57"
23-Aug-2020,Cash,"3,960.92",00.00,"11,843.49"
23-Aug-2020,Transfer,00.00,"2,368.70","9,474.79"
23-Aug-2020,Cash,00.00,"1,353.54","8,121.25"
23-Aug-2020,NEFT,00.00,812.13,"7,309.12"
23-Aug-2020,NEFT,00.00,"1,044.16","6,264.96"
23-Aug-2020,Cheque,00.00,"1,252.99","5,011.97"
23-Aug-2020,Miscellaneous,00.00,"1,002.39","4,009.58"
23-Aug-2020,Interest,01.00,00.00,"4,010.58"
23-Aug-2020,Debit Card,"8,729.50",00.00,"12,740.08"
23-Aug-2020,ATM,00.00,"6,370.04","6,370.04"
23-Aug-2020,Cheque,00.00,"6,370.04",00.00
23-Aug-2020,NEFT,54.77,00.00,54.77
23-Aug-2020,Bill,00.00,06.85,47.92
23-Aug-2020,ATM,00.00,23.96,23.96
23-Aug-2020,NEFT,"252,961.10",00.00,"252,985.06"
23-Aug-2020,Reversal,00.00,"50,597.01","202,388.05"
23-Aug-2020,Cash,"2,795.10",00.00,"205,183.15"
23-Aug-2020,Commission,00.00,"102,591.58","102,591.58"
23-Aug-2020,Debit Card,00.00,"102,591.58",00.00
23-Aug-2020,Bill,"29,662.05",00.00,"29,662.05"
23-Aug-2020,Debit Card,00.00,"3,295.78","26,366.27"
23-Aug-2020,Purchase,55.00,00.00,"26,421.27"
23-Aug-2020,RTGS,"206,667.80",00.00,"233,089.07"
23-Aug-2020,Bill,"1,658,310.00",00.00,"1,891,399.07"
23-Aug-2020,RTGS,"2,385.10",00.00,"1,893,784.17"
23-Aug-2020,Commission,00.00,"631,261.39","1,262,522.78"
23-Aug-2020,Debit Card,06.40,00.00,"1,262,529.18"
23-Aug-2020,Debit Card,00.00,"140,281.02","1,122,248.16"
23-Aug-2020,Commission,00.00,"374,082.72","748,165.44"
23-Aug-2020,Tax,00.00,"249,388.48","498,776.96"
23-Aug-2020,Purchase,04.00,00.00,"498,780.96"
23-Aug-2020,RTGS,176.89,00.00,"498,957.85"
23-Aug-2020,Interest,00.00,"71,279.69","427,678.16"
23-Aug-2020,Cash,00.00,"47,519.80","380,158.36"
23-Aug-2020,Miscellaneous,00.00,"76,031.67","304,126.69"
23-Aug-2020,Miscellaneous,00.00,"43,446.67","260,680.02"
24-Aug-2020,Tax,"1,086,041.00",00.00,"1,346,721.02"
24-Aug-2020,Bill,497.06,00.00,"1,347,218.08"
24-Aug-2020,Transfer,00.00,"134,721.81","1,212,496.27"
24-Aug-2020,Cheque,00.00,"151,562.03","1,060,934.24"
24-Aug-2020,Transfer,"1,846.56",00.00,"1,062,780.80"
24-Aug-2020,Debit Card,"631,472.00",00.00,"1,694,252.80"
24-Aug-2020,Purchase,"15,629.00",00.00,"1,709,881.80"
24-Aug-2020,IMPS,"174,734.70",00.00,"1,884,616.50"
24-Aug-2020,Cheque,26.90,00.00,"1,884,643.40"
24-Aug-2020,Cash,274.70,00.00,"1,884,918.10"
24-Aug-2020,Purchase,15.20,00.00,"1,884,933.30"
24-Aug-2020,RTGS,00.00,"188,493.33","1,696,439.97"
24-Aug-2020,ATM,00.00,"565,479.99","1,130,959.98"
24-Aug-2020,Reversal,"74,038.72",00.00,"1,204,998.70"
24-Aug-2020,ATM,00.00,"172,142.67","1,032,856.03"
24-Aug-2020,Miscellaneous,"86,627.00",00.00,"1,119,483.03"
24-Aug-2020,Tax,00.00,"1,119,483.03",00.00
25-Aug-2020,RTGS,"3,364.10",00.00,"3,364.10"
25-Aug-2020,Transfer,00.00,420.51,"2,943.59"
26-Aug-2020,Interest,"10,699.78",00.00,"13,643.37"
26-Aug-2020,Tax,00.00,"1,705.42","11,937.95"
26-Aug-2020,RTGS,00.00,"1,492.24","10,445.71"
26-Aug-2020,RTGS,00.00,"1,160.63","9,285.08"
26-Aug-2020,Purchase,00.00,"1,857.02","7,428.06"
26-Aug-2020,NEFT,00.00,"1,238.01","6,190.05"
26-Aug-2020,RTGS,00.00,"1,031.68","5,158.38"
26-Aug-2020,Purchase,"1,098.20",00.00,"6,256.58"
26-Aug-2020,Cash,00.00,"1,251.32","5,005.26"
26-Aug-2020,Interest,46.20,00.00,"5,051.46"
26-Aug-2020,NEFT,"3,871.60",00.00,"8,923.06"
26-Aug-2020,Debit Card,00.00,"1,784.61","7,138.45"
26-Aug-2020,ATM,00.00,713.85,"6,424.60"
27-Aug-2020,Transfer,329.60,00.00,"6,754.20"
27-Aug-2020,NEFT,00.00,"1,125.70","5,628.50"
27-Aug-2020,Tax,"32,651.54",00.00,"38,280.04"
27-Aug-2020,ATM,44.00,00.00,"38,324.04"
27-Aug-2020,ATM,01.24,00.00,"38,325.28"
27-Aug-2020,Commission,00.00,"12,775.09","25,550.19"
27-Aug-2020,IMPS,00.00,"2,838.91","22,711.28"
27-Aug-2020,NEFT,887.03,00.00,"23,598.31"
27-Aug-2020,ATM,"70,759.00",00.00,"94,357.31"
27-Aug-2020,Miscellaneous,00.00,"10,484.15","83,873.16"
27-Aug-2020,Miscellaneous,06.00,00.00,"83,879.16"
27-Aug-2020,Miscellaneous,00.00,"10,484.90","73,394.26"
27-Aug-2020,Cheque,"134,526.00",00.00,"207,920.26"
27-Aug-2020,Interest,232.00,00.00,"208,152.26"
27-Aug-2020,NEFT,00.00,"26,019.03","182,133.23"
27-Aug-2020,IMPS,00.00,"26,019.03","156,114.20"
27-Aug-2020,RTGS,00.00,"19,514.28","136,599.93"
27-Aug-2020,Miscellaneous,00.00,"15,177.77","121,422.16"
27-Aug-2020,Cash,37.10,00.00,"121,459.26"
27-Aug-2020,Transfer,51.90,00.00,"121,511.16"
27-Aug-2020,Purchase,"977,896.00",00.00,"1,099,407.16"
27-Aug-2020,ATM,"112,202.47",00.00,"1,211,609.63"
27-Aug-2020,RTGS,"5,812.60",00.00,"1,217,422.23"
27-Aug-2020,ATM,00.00,"608,711.12","608,711.12"
27-Aug-2020,Interest,87.00,00.00,"608,798.12"
27-Aug-2020,Miscellaneous,"281,350.80",00.00,"890,148.92"
27-Aug-2020,Debit Card,00.00,"445,074.46","445,074.46"
27-Aug-2020,Tax,"363,356.00",00.00,"808,430.46"
27-Aug-2020,Cheque,00.00,"80,843.05","727,587.41"
27-Aug-2020,Cash,00.00,"181,896.85","545,690.56"
27-Aug-2020,Commission,"95,879.90",00.00,"641,570.46"
27-Aug-2020,Miscellaneous,"18,525.99",00.00,"660,096.45"
27-Aug-2020,Transfer,"3,077.00",00.00,"663,173.45"
28-Aug-2020,Tax,227.40,00.00,"663,400.85"
28-Aug-2020,Purchase,00.00,"165,850.21","497,550.64"
28-Aug-2020,Interest,00.00,"82,925.11","414,625.53"
28-Aug-2020,Cash,00.60,00.00,"414,626.13"
28-Aug-2020,Reversal,00.00,"46,069.57","368,556.56"
28-Aug-2020,NEFT,00.00,"46,069.57","322,486.99"
28-Aug-2020,Reversal,00.00,"107,495.66","214,991.33"
28-Aug-2020,Interest,00.00,"53,747.83","161,243.50"
28-Aug-2020,RTGS,00.00,"17,915.94","143,327.56"
29-Aug-2020,IMPS,00.00,"71,663.78","71,663.78"
29-Aug-2020,Debit Card,44.00,00.00,"71,707.78"
29-Aug-2020,Bill,00.00,"17,926.95","53,780.84"
29-Aug-2020,NEFT,193.74,00.00,"53,974.58"
29-Aug-2020,Debit Card,"42,941.40",00.00,"96,915.98"
29-Aug-2020,Purchase,"1,491,531.00",00.00,"1,588,446.98"
29-Aug-2020,Cash,"3,716.50",00.00,"1,592,163.48"
29-Aug-2020,Bill,00.00,"176,907.05","1,415,256.43"
29-Aug-2020,RTGS,00.00,"1,415,256.43",00.00
29-Aug-2020,Debit Card,"223,474.00",00.00,"223,474.00"
29-Aug-2020,Commission,"10,931.00",00.00,"234,405.00"
29-Aug-2020,Interest,00.00,"234,405.00",00.00
29-Aug-2020,Transfer,31.00,00.00,31.00
29-Aug-2020,Commission,00.00,04.43,26.57
29-Aug-2020,Transfer,"1,714,731.00",00.00,"1,714,757.57"
29-Aug-2020,Interest,"3,091.56",00.00,"1,717,849.13"
29-Aug-2020,Transfer,"20,652.90",00.00,"1,738,502.03"
29-Aug-2020,Transfer,"1,635.00",00.00,"1,740,137.03"
29-Aug-2020,Purchase,00.00,"1,740,137.03",00.00
29-Aug-2020,Purchase,503.59,00.00,503.59
29-Aug-2020,Bill,00.00,50.36,453.23
29-Aug-2020,Commission,00.00,151.08,302.15
29-Aug-2020,Purchase,00.00,50.36,251.79
29-Aug-2020,Interest,00.00,41.97,209.82
29-Aug-2020,RTGS,00.00,29.97,179.85
29-Aug-2020,Bill,00.00,17.99,161.86
30-Aug-2020,RTGS,00.00,26.98,134.88
30-Aug-2020,Cheque,00.00,19.27,115.61
30-Aug-2020,Cheque,00.00,57.81,57.80
30-Aug-2020,Interest,04.30,00.00,62.10
30-Aug-2020,Cash,09.00,00.00,71.10
30-Aug-2020,Commission,"82,053.30",00.00,"82,124.40"
30-Aug-2020,RTGS,"92,237.06",00.00,"174,361.46"
30-Aug-2020,Commission,"877,120.00",00.00,"1,051,481.46"
30-Aug-2020,Tax,202.00,00.00,"1,051,683.46"
30-Aug-2020,ATM,"3,312.00",00.00,"1,054,995.46"
30-Aug-2020,Bill,00.00,"150,713.64","904,281.82"
30-Aug-2020,NEFT,00.00,"452,140.91","452,140.91"
30-Aug-2020,ATM,00.00,"226,070.46","226,070.46"
30-Aug-2020,ATM,164.00,00.00,"226,234.46"
30-Aug-2020,Reversal,"258,167.80",00.00,"484,402.26"
30-Aug-2020,Reversal,00.00,"48,440.23","435,962.03"
30-Aug-2020,NEFT,618.80,00.00,"436,580.83"
30-Aug-2020,Reversal,21.00,00.00,"436,601.83"
30-Aug-2020,Interest,275.74,00.00,"436,877.57"
30-Aug-2020,ATM,"3,574.50",00.00,"440,452.07"
31-Aug-2020,Commission,17.00,00.00,"440,469.07"
31-Aug-2020,Interest,00.00,"220,234.54","220,234.54"
01-Sep-2020,Transfer,"6,222.32",00.00,"226,456.86"
01-Sep-2020,ATM,53.30,00.00,"226,510.16"
01-Sep-2020,Reversal,00.00,"28,313.77","198,196.39"
01-Sep-2020,Cash,"938,633.75",00.00,"1,136,830.14"
01-Sep-2020,IMPS,01.40,00.00,"1,136,831.54"
02-Sep-2020,Purchase,"2,719.00",00.00,"1,139,550.54"
02-Sep-2020,NEFT,"238,647.10",00.00,"1,378,197.64"
02-Sep-2020,Debit Card,00.00,"196,885.38","1,181,312.26"
02-Sep-2020,Debit Card,00.00,"131,256.92","1,050,055.34"
02-Sep-2020,RTGS,"1,702,770.20",00.00,"2,752,825.54"
02-Sep-2020,Cheque,00.00,"550,565.11","2,202,260.43"
02-Sep-2020,ATM,"1,261,327.80",00.00,"3,463,588.23"
02-Sep-2020,RTGS,"1,216,645.50",00.00,"4,680,233.73"
02-Sep-2020,Interest,00.00,"520,025.97","4,160,207.76"
02-Sep-2020,Transfer,00.00,"462,245.31","3,697,962.45"
02-Sep-2020,Bill,00.00,"410,884.72","3,287,077.73"
02-Sep-2020,Transfer,07.90,00.00,"3,287,085.63"
02-Sep-2020,Tax,377.55,00.00,"3,287,463.18"
02-Sep-2020,Miscellaneous,245.53,00.00,"3,287,708.71"
02-Sep-2020,ATM,00.00,"657,541.74","2,630,166.97"
02-Sep-2020,NEFT,00.00,"263,016.70","2,367,150.27"
02-Sep-2020,NEFT,51.10,00.00,"2,367,201.37"
03-Sep-2020,Bill,00.00,"789,067.12","1,578,134.25"
03-Sep-2020,Purchase,00.00,"789,067.13","789,067.12"
03-Sep-2020,RTGS,"1,384.35",00.00,"790,451.47"
04-Sep-2020,Transfer,00.00,"98,806.43","691,645.04"
04-Sep-2020,Interest,00.00,"98,806.43","592,838.61"
04-Sep-2020,NEFT,00.00,"592,838.61",00.00
04-Sep-2020,RTGS,00.72,00.00,00.72
04-Sep-2020,Transfer,03.33,00.00,04.05
05-Sep-2020,Reversal,00.00,01.35,02.70
05-Sep-2020,Bill,00.00,01.35,01.35
05-Sep-2020,Interest,00.00,00.23,01.12
05-Sep-2020,Reversal,922.00,00.00,923.12
05-Sep-2020,Commission,"1,858,278.00",00.00,"1,859,201.12"
05-Sep-2020,Interest,277.00,00.00,"1,859,478.12"
05-Sep-2020,Interest,00.00,"619,826.04","1,239,652.08"
05-Sep-2020,Transfer,340.90,00.00,"1,239,992.98"
05-Sep-2020,Transfer,"1,892.78",00.00,"1,241,885.76"
05-Sep-2020,Bill,00.00,"248,377.15","993,508.61"
05-Sep-2020,NEFT,00.00,"198,701.72","794,806.89"
05-Sep-2020,Cheque,00.00,"88,311.88","706,495.01"
05-Sep-2020,Transfer,"9,815.44",00.00,"716,310.45"
05-Sep-2020,Cheque,"723,495.75",00.00,"1,439,806.20"
05-Sep-2020,ATM,00.00,"143,980.62","1,295,825.58"
06-Sep-2020,Bill,06.50,00.00,"1,295,832.08"
06-Sep-2020,NEFT,347.00,00.00,"1,296,179.08"
06-Sep-2020,Tax,"12,657.40",00.00,"1,308,836.48"
06-Sep-2020,Interest,"220,259.06",00.00,"1,529,095.54"
06-Sep-2020,RTGS,00.00,"382,273.89","1,146,821.66"
06-Sep-2020,NEFT,167.50,00.00,"1,146,989.16"
06-Sep-2020,Cheque,00.00,"573,494.58","573,494.58"
06-Sep-2020,Cheque,00.00,"71,686.82","501,807.76"
06-Sep-2020,IMPS,"750,867.20",00.00,"1,252,674.96"
06-Sep-2020,NEFT,59.80,00.00,"1,252,734.76"
06-Sep-2020,IMPS,"4,778.51",00.00,"1,257,513.27"
06-Sep-2020,Miscellaneous,00.00,"1,257,513.27",00.00
06-Sep-2020,NEFT,"25,899.00",00.00,"25,899.00"
06-Sep-2020,Commission,00.00,"3,699.86","22,199.14"
06-Sep-2020,Interest,00.00,00.00,"22,199.14"
06-Sep-2020,Miscellaneous,00.00,"2,466.57","19,732.57"
06-Sep-2020,Cheque,00.00,"19,732.57",00.00
06-Sep-2020,Transfer,04.21,00.00,04.21
06-Sep-2020,Cheque,00.00,01.05,03.16
06-Sep-2020,Debit Card,00.00,00.53,02.63
06-Sep-2020,Miscellaneous,00.00,00.66,01.97
06-Sep-2020,Debit Card,00.00,00.99,00.98
06-Sep-2020,IMPS,00.00,00.98,00.00
06-Sep-2020,Bill,213.60,00.00,213.60
06-Sep-2020,Reversal,"2,033,119.20",00.00,"2,033,332.80"
06-Sep-2020,Cash,"260,909.12",00.00,"2,294,241.92"
06-Sep-2020,Reversal,00.00,"286,780.24","2,007,461.68"
06-Sep-2020,Interest,00.00,"401,492.34","1,605,969.34"
06-Sep-2020,ATM,"23,090.54",00.00,"1,629,059.88"
06-Sep-2020,Transfer,778.81,00.00,"1,629,838.69"
06-Sep-2020,IMPS,00.00,"232,834.10","1,397,004.59"
07-Sep-2020,Cheque,442.45,00.00,"1,397,447.04"
07-Sep-2020,Transfer,"1,251.00",00.00,"1,398,698.04"
07-Sep-2020,Reversal,08.70,00.00,"1,398,706.74"
07-Sep-2020,Commission,00.00,"233,117.79","1,165,588.95"
07-Sep-2020,Cash,00.00,"166,512.71","999,076.24"
07-Sep-2020,Miscellaneous,"32,705.00",00.00,"1,031,781.24"
07-Sep-2020,IMPS,00.00,"147,397.32","884,383.92"
07-Sep-2020,Purchase,00.00,"126,340.56","758,043.36"
07-Sep-2020,Bill,07.70,00.00,"758,051.06"
07-Sep-2020,ATM,"2,432.00",00.00,"760,483.06"
07-Sep-2020,Cheque,"4,052.17",00.00,"764,535.23"
07-Sep-2020,IMPS,00.00,"76,453.52","688,081.71"
07-Sep-2020,Transfer,39.50,00.00,"688,121.21"
07-Sep-2020,Cash,"1,513,966.00",00.00,"2,202,087.21"
07-Sep-2020,IMPS,412.00,00.00,"2,202,499.21"
07-Sep-2020,Transfer,00.00,"244,722.13","1,957,777.08"
07-Sep-2020,Reversal,05.00,00.00,"1,957,782.08"
07-Sep-2020,Cheque,00.00,"326,297.01","1,631,485.07"
07-Sep-2020,Reversal,"1,782,155.00",00.00,"3,413,640.07"
07-Sep-2020,Transfer,"156,911.84",00.00,"3,570,551.91"
07-Sep-2020,Commission,00.00,"357,055.19","3,213,496.72"
07-Sep-2020,Cheque,00.00,"357,055.19","2,856,441.53"
07-Sep-2020,Bill,00.00,"952,147.18","1,904,294.35"
07-Sep-2020,Reversal,"2,534.91",00.00,"1,906,829.26"
07-Sep-2020,Purchase,"69,855.00",00.00,"1,976,684.26"
07-Sep-2020,Reversal,166.34,00.00,"1,976,850.60"
07-Sep-2020,NEFT,"8,517.02",00.00,"1,985,367.62"
07-Sep-2020,Interest,02.00,00.00,"1,985,369.62"
07-Sep-2020,ATM,03.00,00.00,"1,985,372.62"
07-Sep-2020,Purchase,125.08,00.00,"1,985,497.70"
07-Sep-2020,Interest,"10,590.00",00.00,"1,996,087.70"
07-Sep-2020,Interest,"596,055.80",00.00,"2,592,143.50"
07-Sep-2020,Interest,"396,941.50",00.00,"2,989,085.00"
07-Sep-2020,Commission,21.00,00.00,"2,989,106.00"
07-Sep-2020,Tax,"3,310.90",00.00,"2,992,416.90"
07-Sep-2020,Tax,00.80,00.00,"2,992,417.70"
07-Sep-2020,Commission,98.24,00.00,"2,992,515.94"
07-Sep-2020,Reversal,05.50,00.00,"2,992,521.44"
07-Sep-2020,Reversal,"10,164.00",00.00,"3,002,685.44"
07-Sep-2020,Cash,00.00,"500,447.57","2,502,237.87"
07-Sep-2020,Interest,"382,115.50",00.00,"2,884,353.37"
07-Sep-2020,Purchase,00.00,"961,451.12","1,922,902.25"
07-Sep-2020,Interest,00.00,"961,451.13","961,451.12"
08-Sep-2020,NEFT,"1,499.00",00.00,"962,950.12"
08-Sep-2020,Purchase,325.00,00.00,"963,275.12"
08-Sep-2020,ATM,"766,598.20",00.00,"1,729,873.32"
08-Sep-2020,Cheque,"241,951.00",00.00,"1,971,824.32"
08-Sep-2020,Commission,29.00,00.00,"1,971,853.32"
08-Sep-2020,Transfer,"59,175.20",00.00,"2,031,028.52"
08-Sep-2020,Reversal,00.00,"253,878.57","1,777,149.96"
08-Sep-2020,NEFT,00.00,"177,715.00","1,599,434.96"
08-Sep-2020,Cheque,00.00,"228,490.71","1,370,944.25"
08-Sep-2020,Bill,00.00,"342,736.06","1,028,208.19"
